Servo Motion,Servo Position,Flex Sensor Value,EMG Sensor Value,EMG Sensor Voltage
Finger Closing,112,394,77,376.34
Finger Closing,113,394,66,322.58
Finger Closing,114,393,60,293.26
Finger Closing,115,393,68,332.36
Finger Closing,116,393,60,293.26
Finger Closing,117,393,86,420.33
Finger Closing,118,392,74,361.68
Finger Closing,119,391,73,356.79
Finger Closing,120,391,66,322.58
Finger Closing,121,390,69,337.24
Finger Closing,122,389,58,283.48
Finger Closing,123,389,56,273.7
Finger Closing,124,388,65,317.69
Finger Closing,125,388,68,332.36
Finger Closing,126,387,77,376.34
Finger Closing,127,387,92,449.66
Finger Closing,128,386,105,513.2
Finger Closing,129,386,109,532.75
Finger Closing,130,384,107,522.97
Finger Closing,131,383,128,625.61
Finger Closing,132,382,112,547.41
Finger Closing,133,380,105,513.2
Finger Closing,134,378,96,469.21
Finger Closing,135,373,87,425.22
Finger Closing,136,369,90,439.88
Finger Closing,137,368,122,596.29
Finger Closing,138,369,110,537.63
Finger Closing,139,363,109,532.75
Finger Closing,140,364,107,522.97
Finger Closing,141,364,155,757.58
Finger Closing,142,362,137,669.6
Finger Closing,143,358,151,738.03
Finger Closing,144,364,174,850.44
Finger Closing,145,360,187,913.98
Finger Closing,146,357,174,850.44
Finger Closing,147,358,203,992.18
Finger Closing,148,355,177,865.1
Finger Closing,149,350,213,1041.06
Finger Closing,150,353,190,928.64
Finger Closing,151,351,218,1065.49
Finger Closing,152,355,229,1119.26
Finger Closing,153,362,249,1217.01
Finger Closing,154,348,204,997.07
Finger Closing,155,347,212,1036.17
Finger Closing,156,343,181,884.65
Finger Closing,157,341,189,923.75
Finger Closing,158,340,169,826
Finger Closing,159,339,179,874.88
Finger Closing,160,337,212,1036.17
Finger Closing,161,336,238,1163.25
Finger Closing,162,333,232,1133.92
Finger Closing,163,332,229,1119.26
Finger Closing,164,331,230,1124.14
Finger Closing,165,329,221,1080.16
Finger Closing,166,327,204,997.07
Finger Closing,167,326,192,938.42
Finger Closing,168,324,186,909.09
Finger Closing,169,325,180,879.77
Finger Closing,170,323,185,904.2
Finger Opening,170,323,193,943.3
Finger Opening,169,324,201,982.4
Finger Opening,168,323,199,972.63
Finger Opening,167,324,191,933.53
Finger Opening,166,324,186,909.09
Finger Opening,165,325,174,850.44
Finger Opening,164,325,169,826
Finger Opening,163,325,156,762.46
Finger Opening,162,329,134,654.94
Finger Opening,161,324,115,562.07
Finger Opening,160,326,108,527.86
Finger Opening,159,329,96,469.21
Finger Opening,158,331,85,415.44
Finger Opening,157,331,72,351.91
Finger Opening,156,332,112,547.41
Finger Opening,155,333,115,562.07
Finger Opening,154,334,105,513.2
Finger Opening,153,338,116,566.96
Finger Opening,152,337,115,562.07
Finger Opening,151,346,104,508.31
Finger Opening,150,340,108,527.86
Finger Opening,149,341,107,522.97
Finger Opening,148,342,114,557.18
Finger Opening,147,344,120,586.51
Finger Opening,146,345,122,596.29
Finger Opening,145,346,120,586.51
Finger Opening,144,347,142,694.04
Finger Opening,143,350,153,747.8
Finger Opening,142,351,204,997.07
Finger Opening,141,352,169,826
Finger Opening,140,354,162,791.79
Finger Opening,139,354,126,615.84
Finger Opening,138,356,144,703.81
Finger Opening,137,356,121,591.4
Finger Opening,136,359,164,801.56
Finger Opening,135,364,134,654.94
Finger Opening,134,362,179,874.88
Finger Opening,133,363,163,796.68
Finger Opening,132,364,168,821.11
Finger Opening,131,363,148,723.36
Finger Opening,130,366,150,733.14
Finger Opening,129,367,138,674.49
Finger Opening,128,370,163,796.68
Finger Opening,127,376,152,742.91
Finger Opening,126,369,169,826
Finger Opening,125,362,172,840.66
Finger Opening,124,365,153,747.8
Finger Opening,123,372,175,855.33
Finger Opening,122,359,174,850.44
Finger Opening,121,360,171,835.78
Finger Opening,120,359,149,728.25
Finger Opening,119,371,150,733.14
Finger Opening,118,372,162,791.79
Finger Opening,117,376,149,728.25
Finger Opening,116,378,140,684.26
Finger Opening,115,381,176,860.22
Finger Opening,114,383,162,791.79
Finger Opening,113,384,168,821.11
Finger Opening,112,386,166,811.34
Finger Opening,111,387,154,752.69
Finger Opening,110,388,146,713.59
Finger Opening,109,389,127,620.72
Finger Opening,108,389,148,723.36
Finger Opening,107,390,162,791.79
Finger Opening,106,391,148,723.36
Finger Opening,105,392,162,791.79
Finger Opening,104,393,157,767.35
Finger Opening,103,394,151,738.03
Finger Opening,102,395,151,738.03
Finger Opening,101,397,146,713.59
Finger Opening,100,399,146,713.59
Finger Opening,99,400,150,733.14
Finger Opening,98,398,162,791.79
Finger Opening,97,399,149,728.25
Finger Opening,96,408,139,679.37
Finger Opening,95,417,135,659.82
Finger Opening,94,404,117,571.85
Finger Opening,93,411,97,474.1
Finger Opening,92,414,98,478.98
Finger Opening,91,416,80,391.01
Finger Opening,90,416,81,395.89
Finger Closing,90,420,82,400.78
Finger Closing,91,412,72,351.91
Finger Closing,92,417,71,347.02
Finger Closing,93,420,59,288.37
Finger Closing,94,423,58,283.48
Finger Closing,95,424,48,234.6
Finger Closing,96,425,61,298.14
Finger Closing,97,426,47,229.72
Finger Closing,98,427,53,259.04
Finger Closing,99,427,44,215.05
Finger Closing,100,426,69,337.24
Finger Closing,101,426,57,278.59
Finger Closing,102,426,55,268.82
Finger Closing,103,425,46,224.83
Finger Closing,104,424,51,249.27
Finger Closing,105,424,45,219.94
Finger Closing,106,423,44,215.05
Finger Closing,107,423,42,205.28
Finger Closing,108,421,56,273.7
Finger Closing,109,421,46,224.83
Finger Closing,110,420,41,200.39
Finger Closing,111,420,46,224.83
Finger Closing,112,419,44,215.05
Finger Closing,113,417,52,254.15
Finger Closing,114,416,57,278.59
