Servo Motion,Servo Position,Flex Sensor Value,EMG Sensor Value,EMG Sensor Voltage
Finger Closing,90,421,14,68.43
Finger Closing,91,421,17,83.09
Finger Closing,92,422,22,107.53
Finger Closing,93,422,20,97.75
Finger Closing,94,422,19,92.86
Finger Closing,95,422,20,97.75
Finger Closing,96,423,20,97.75
Finger Closing,97,422,29,141.74
Finger Closing,98,421,35,171.07
Finger Closing,99,426,30,146.63
Finger Closing,100,412,34,166.18
Finger Closing,101,420,29,141.74
Finger Closing,102,415,28,136.85
Finger Closing,103,413,34,166.18
Finger Closing,104,417,31,151.52
Finger Closing,105,417,25,122.19
Finger Closing,106,417,23,112.41
Finger Closing,107,417,23,112.41
Finger Closing,108,417,29,141.74
Finger Closing,109,416,29,141.74
Finger Closing,110,416,31,151.52
Finger Closing,111,415,31,151.52
Finger Closing,112,412,41,200.39
Finger Closing,113,410,34,166.18
Finger Closing,114,408,34,166.18
Finger Closing,115,406,32,156.4
Finger Closing,116,406,37,180.84
Finger Closing,117,405,32,156.4
Finger Closing,118,404,36,175.95
Finger Closing,119,403,33,161.29
Finger Closing,120,402,32,156.4
Finger Closing,121,401,28,136.85
Finger Closing,122,398,33,161.29
Finger Closing,123,398,26,127.08
Finger Closing,124,397,32,156.4
Finger Closing,125,396,92,449.66
Finger Closing,126,395,79,386.12
Finger Closing,127,391,62,303.03
Finger Closing,128,391,49,239.49
Finger Closing,129,388,50,244.38
Finger Closing,130,386,44,215.05
Finger Closing,131,384,48,234.6
Finger Closing,132,382,70,342.13
Finger Closing,133,379,71,347.02
Finger Closing,134,377,107,522.97
Finger Closing,135,375,96,469.21
Finger Closing,136,373,118,576.74
Finger Closing,137,370,181,884.65
Finger Closing,138,367,180,879.77
Finger Closing,139,363,172,840.66
Finger Closing,140,344,158,772.24
Finger Closing,141,366,118,576.74
Finger Closing,142,364,99,483.87
Finger Closing,143,362,84,410.56
Finger Closing,144,360,77,376.34
Finger Closing,145,355,65,317.69
Finger Closing,146,350,61,298.14
Finger Closing,147,354,61,298.14
Finger Closing,148,352,66,322.58
Finger Closing,149,350,59,288.37
Finger Closing,150,348,59,288.37
Finger Closing,151,347,57,278.59
Finger Closing,152,346,52,254.15
Finger Closing,153,344,49,239.49
Finger Closing,154,342,62,303.03
Finger Closing,155,341,56,273.7
Finger Closing,156,338,56,273.7
Finger Closing,157,334,56,273.7
Finger Closing,158,331,53,259.04
Finger Closing,159,327,46,224.83
Finger Closing,160,320,61,298.14
Finger Closing,161,323,48,234.6
Finger Closing,162,320,53,259.04
Finger Closing,163,319,46,224.83
Finger Closing,164,316,45,219.94
Finger Closing,165,319,39,190.62
Finger Closing,166,317,64,312.81
Finger Closing,167,317,51,249.27
Finger Closing,168,316,40,195.5
Finger Closing,169,314,38,185.73
Finger Closing,170,315,38,185.73
Finger Closing,171,314,38,185.73
Finger Closing,172,315,34,166.18
Finger Closing,173,317,37,180.84
Finger Closing,174,316,32,156.4
Finger Closing,175,317,32,156.4
Finger Closing,176,317,29,141.74
Finger Closing,177,317,27,131.96
Finger Closing,178,316,34,166.18
Finger Closing,179,319,31,151.52
Finger Closing,180,319,30,146.63
Finger Opening,180,320,33,161.29
Finger Opening,179,320,30,146.63
Finger Opening,178,320,35,171.07
Finger Opening,177,321,37,180.84
Finger Opening,176,320,39,190.62
Finger Opening,175,321,34,166.18
Finger Opening,174,321,28,136.85
Finger Opening,173,321,24,117.3
Finger Opening,172,322,25,122.19
Finger Opening,171,322,29,141.74
Finger Opening,170,322,30,146.63
Finger Opening,169,322,31,151.52
Finger Opening,168,323,33,161.29
Finger Opening,167,323,30,146.63
Finger Opening,166,323,28,136.85
Finger Opening,165,324,26,127.08
Finger Opening,164,324,26,127.08
Finger Opening,163,347,24,117.3
Finger Opening,162,324,37,180.84
Finger Opening,161,322,46,224.83
Finger Opening,160,329,42,205.28
Finger Opening,159,321,54,263.93
